Designator,Mid X,Mid Y,Rotation,Layer
D1,-110.499993,-21.799998,180.0,bottom
D10,-34.499995,-28.800003,180.0,bottom
D11,-110.499997,-53.799996,180.0,bottom
D12,-91.499996,-42.300003,180.0,bottom
D13,-72.499993,-37.299995,180.0,bottom
D14,-53.499994,-42.299992,180.0,bottom
D15,-34.499982,-44.799994,180.0,bottom
D16,-129.499994,-29.799997,180.0,bottom
D17,-129.499992,-45.8,180.0,bottom
D18,-52.499986,-63.799993,180.0,bottom
D19,-31.32,-65.62,170.0,bottom
D2,-91.499996,-10.299996,180.0,bottom
D20,-10.74,-71.17,160.0,bottom
D3,-72.499992,-5.299995,180.0,bottom
D4,-53.500001,-10.300003,180.0,bottom
D5,-34.499989,-12.8,180.0,bottom
D6,-110.499999,-37.799997,180.0,bottom
D7,-91.499983,-26.299999,180.0,bottom
D8,-72.499993,-21.299992,180.0,bottom
D9,-53.499995,-26.299999,180.0,bottom
H1,-128.401259,-21.607423,18.0,top
H2,-90.392543,-2.599822,18.0,top
H3,-43.1,-2.6,18.0,top
H4,2.863472,7.349107,18.0,top
H5,-128.398497,-65.399928,18.0,top
H6,-65.399992,-57.39799,18.0,top
H7,-21.603621,-56.41455,18.0,top
H8,7.702693,-62.668353,18.0,top
J1,-7.053915,-12.91491,20.0,top
J2,1.615074,-61.585112,200.0,top
J4,-0.78665,-29.256924,200.0,bottom
J8,-16.953523,-50.03967,110.0,top
J9,-16.953523,-50.03967,290.0,bottom
S1,-73.500001,-68.5,270.0,top
SW1,-110.5,-26.499997,0.0,top
SW10,-34.499994,-33.499998,0.0,top
SW11,-110.499991,-58.499993,0.0,top
SW12,-91.499993,-47.000002,0.0,top
SW13,-72.499991,-42.000003,0.0,top
SW14,-53.499995,-46.999996,0.0,top
SW15,-34.499993,-49.499997,0.0,top
SW16,-129.499992,-34.499997,0.0,top
SW17,-129.499998,-50.500002,0.0,top
SW18,-52.500001,-68.499999,0.0,top
SW19,-32.159535,-70.27391,350.0,top
SW2,-91.499991,-14.999994,0.0,top
SW20,-12.381468,-75.636369,340.0,top
SW21,-7.224924,-12.445064,290.0,top
SW22,-12.56044,2.214142,200.0,top
SW23,-73.500001,-68.5,0.0,bottom
SW3,-72.5,-10.0,0.0,top
SW4,-53.500001,-14.999998,0.0,top
SW5,-34.499992,-17.499995,0.0,top
SW6,-110.499994,-42.499989,0.0,top
SW7,-91.49999,-30.999995,0.0,top
SW8,-72.499995,-25.999997,0.0,top
SW9,-53.499996,-30.999989,0.0,top
